filename,Short_description,Long_description,Measurement_unit,Source_dataset,Source_URL
cru_pre_clim_1961-1990_??_10km.tif,,"Precipitation, 1961-1990, monthly mean for January; data value in kg m-2 = index*scale + offset scale=6.4 and offset=0.0 are specified in GDAL_METADATA",kg m-2,CRU TS2.1,http://www.ipcc-data.org/observ/clim/cru_ts2_1.html
cru_frs_clim_1961-1990_??_10km.tif,,"Ground frost frequency, 1961-1990, monthly mean for January; data value in days = index*scale + offset scale=0.124 and offset=0.0 are specified in GDAL_METADATA",days,CRU TS2.1,http://www.ipcc-data.org/observ/clim/cru_ts2_1.html
cru_tmn_clim_1961-1990_??_10km.tif,,"Near surface air temperature: daily minimum, 1961-1990, monthly mean for January; data value in celsius = index*scale + offset scale=0.44 and offset=-60.0 are specified in GDAL_METADATA",Celsius,CRU TS2.1,http://www.ipcc-data.org/observ/clim/cru_ts2_1.html
cru_tmx_clim_1961-1990_??_10km.tif,,"Near surface air temperature: daily maximum, 1961-1990, monthly mean for January; data value in celsius = index*scale + offset scale=0.54 and offset=-85.0 are specified in GDAL_METADATA",Celsius,CRU TS2.1,http://www.ipcc-data.org/observ/clim/cru_ts2_1.html
cru_tmp_clim_1961-1990_??_10km.tif,,"Near surface air temperature, 1961-1990, monthly mean for January; data value in celsius = index*scale + offset scale=0.54 and offset=-85.0 are specified in GDAL_METADATA",Celsius,CRU TS2.1,http://www.ipcc-data.org/observ/clim/cru_ts2_1.html
cru_vap_clim_1961-1990_??_10km.tif,,"Water vapor pressure, 1961-1990, monthly mean for January; data value in hPa = index*scale + offset scale=0.2 and offset=0.0 are specified in GDAL_METADATA ",hPa,CRU TS2.1,http://www.ipcc-data.org/observ/clim/cru_ts2_1.html
cru_wet_clim_1961-1990_??_10km.tif,,"Wet day frequency, 1961-1990, monthly mean for January; data value in days = index*scale + offset scale=0.124 and offset=0.0 are specified in GDAL_METADATA",days,CRU TS2.1,http://www.ipcc-data.org/observ/clim/cru_ts2_1.html
cru_cld_clim_1961-1990_??_10km.tif,,"Cloud area fraction, 1961-1990, monthly mean for January; data value in percentage = index*scale + offset scale=0.4 and offset=0.0 are specified in GDAL_METADATA",percent,CRU TS2.1,http://www.ipcc-data.org/observ/clim/cru_ts2_1.html
cru_dtr_clim_1961-1990_??_10km.tif,,"Near surface air temperature: diurnal range, 1961-1990, monthly mean for January; data value in celsius = index*scale + offset scale=0.16 and offset=0.0 are specified in GDAL_METADATA",Celsius,CRU TS2.1,http://www.ipcc-data.org/observ/clim/cru_ts2_1.html
C01GLC5_agg_ll_10km.tif,Cultivated land cover for year 2010 based on GlobCover30,Cultivated land cover for year 2010 based on GlobCover30 product by National Geomatics Center of China (NGCC). Upscaled to 250 m resolution and expressed in percent.,percent,GlobCover30,http://www.globallandcover.com/
C02GLC5_agg_ll_10km.tif,Forests cover for year 2010 based on GlobCover30,Forests cover for year 2010 based on GlobCover30 product by National Geomatics Center of China (NGCC). Upscaled to 250 m resolution and expressed in percent.,percent,GlobCover30,http://www.globallandcover.com/
C03GLC5_agg_ll_10km.tif,Grasslands cover for year 2010 based on GlobCover30,Grasslands cover for year 2010 based on GlobCover30 product by National Geomatics Center of China (NGCC). Upscaled to 250 m resolution and expressed in percent.,percent,GlobCover30,http://www.globallandcover.com/
C04GLC5_agg_ll_10km.tif,Shrublands cover for year 2010 based on GlobCover30,Shrublands cover for year 2010 based on GlobCover30 product by National Geomatics Center of China (NGCC). Upscaled to 250 m resolution and expressed in percent.,percent,GlobCover30,http://www.globallandcover.com/
